city,date,gender,match_referees,tv_umpires,first_umpire,second_umpire,win_by,win_with,result,player_of_match,team_1,team_2,elected_first,toss_winner,venue,mergeid
Southampton,2005-06-13,male,JJ Crowe,MR Benson,NJ Llong,JW Lloyds,runs,100.0,England,['KP Pietersen'],England,Australia,bat,England,The Rose Bowl,31231
Auckland,2005-02-17,male,CH Lloyd,DB Cowie,BF Bowden,AL Hill,runs,44.0,Australia,['RT Ponting'],New Zealand,Australia,bat,Australia,Eden Park,32232
Johannesburg,2005-10-21,male,BC Broad,KH Hurter,IL Howell,BG Jerling,wickets,5.0,New Zealand,['JS Patel'],South Africa,New Zealand,field,New Zealand,New Wanderers Stadium,33233
Bristol,2006-08-28,male,MJ Procter,IJ Gould,PJ Hartley,NJ Llong,wickets,5.0,Pakistan,['Shahid Afridi'],England,Pakistan,bat,England,County Ground,34234
Southampton,2006-06-15,male,CH Lloyd,PJ Hartley,IJ Gould,NJ Llong,runs,2.0,Sri Lanka,['ST Jayasuriya'],England,Sri Lanka,bat,Sri Lanka,The Rose Bowl,35235
Brisbane,2006-01-09,male,RG Archer,NS McNamara,BNJ Oxenford,RL Parry,runs,95.0,Australia,['DR Martyn'],Australia,South Africa,bat,Australia,"Brisbane Cricket Ground, Woolloongabba",36236
Auckland,2006-02-16,male,MJ Procter,BG Frost,BF Bowden,AL Hill,,,tie,['DR Smith'],New Zealand,West Indies,field,New Zealand,Eden Park,37237
Johannesburg,2006-02-24,male,BC Broad,BG Jerling,M Erasmus,KH Hurter,runs,2.0,South Africa,['GC Smith'],South Africa,Australia,bat,South Africa,New Wanderers Stadium,38238
,2007-01-09,male,RS Madugalle,RJ Tucker,PD Parker,RL Parry,runs,77.0,Australia,['CL White'],Australia,England,bat,Australia,Sydney Cricket Ground,39239
Wellington,2006-12-22,male,J Srinath,GAV Baxter,AL Hill,EA Watkin,runs,18.0,Sri Lanka,['ST Jayasuriya'],New Zealand,Sri Lanka,bat,New Zealand,Westpac Stadium,3102310
Auckland,2006-12-26,male,J Srinath,GAV Baxter,BF Bowden,AL Hill,wickets,5.0,New Zealand,['JEC Franklin'],New Zealand,Sri Lanka,field,New Zealand,Eden Park,3112311
Johannesburg,2006-12-01,male,BC Broad,KH Hurter,IL Howell,BG Jerling,wickets,6.0,India,['KD Karthik'],South Africa,India,bat,South Africa,New Wanderers Stadium,3122312
London,2007-06-28,male,MJ Procter,IJ Gould,PJ Hartley,NJ Llong,runs,15.0,West Indies,['PD Collingwood'],England,West Indies,bat,West Indies,Kennington Oval,3132313
London,2007-06-29,male,MJ Procter,PJ Hartley,IJ Gould,NJ Llong,wickets,5.0,England,['OA Shah'],England,West Indies,bat,West Indies,Kennington Oval,3142314
Johannesburg,2007-09-11,male,BC Broad,NJ Llong,MR Benson,DJ Harper,wickets,8.0,South Africa,['CH Gayle'],South Africa,West Indies,field,South Africa,New Wanderers Stadium,3152315
Durban,2007-09-12,male,MJ Procter,SJ Davis,BR Doctrove,SJA Taufel,wickets,9.0,New Zealand,['MR Gillespie'],Kenya,New Zealand,field,New Zealand,Kingsmead,3162316
Durban,2007-09-12,male,MJ Procter,BR Doctrove,SJ Davis,SJA Taufel,runs,51.0,Pakistan,['Shahid Afridi'],Pakistan,Scotland,field,Scotland,Kingsmead,3172317
Cape Town,2007-09-12,male,RS Madugalle,IL Howell,Asad Rauf,AL Hill,wickets,5.0,Zimbabwe,['BRM Taylor'],Australia,Zimbabwe,bat,Australia,Newlands,3182318
Johannesburg,2007-09-13,male,BC Broad,DJ Harper,MR Benson,NJ Llong,wickets,6.0,Bangladesh,['Mohammad Ashraful'],Bangladesh,West Indies,field,Bangladesh,New Wanderers Stadium,3192319
Cape Town,2007-09-13,male,RS Madugalle,IL Howell,Asad Rauf,AL Hill,runs,50.0,England,['KP Pietersen'],England,Zimbabwe,bat,England,Newlands,3202320
Johannesburg,2007-09-14,male,BC Broad,MR Benson,DJ Harper,NJ Llong,runs,172.0,Sri Lanka,['ST Jayasuriya'],Kenya,Sri Lanka,field,Kenya,New Wanderers Stadium,3212321
Cape Town,2007-09-14,male,RS Madugalle,AL Hill,Asad Rauf,IL Howell,wickets,8.0,Australia,['NW Bracken'],Australia,England,bat,England,Newlands,3222322
Durban,2007-09-14,male,MJ Procter,SJ Davis,BR Doctrove,SJA Taufel,,,tie,['Mohammad Asif'],India,Pakistan,field,Pakistan,Kingsmead,3232323
Johannesburg,2007-09-15,male,BC Broad,NJ Llong,MR Benson,DJ Harper,wickets,7.0,Sri Lanka,['ST Jayasuriya'],New Zealand,Sri Lanka,bat,New Zealand,New Wanderers Stadium,3242324
Cape Town,2007-09-15,male,RS Madugalle,IL Howell,Asad Rauf,AL Hill,wickets,7.0,South Africa,['M Morkel'],South Africa,Bangladesh,field,South Africa,Newlands,3252325
Johannesburg,2007-09-16,male,BC Broad,DJ Harper,MR Benson,NJ Llong,runs,10.0,New Zealand,['DL Vettori'],India,New Zealand,field,India,New Wanderers Stadium,3262326
Cape Town,2007-09-16,male,RS Madugalle,AL Hill,Asad Rauf,IL Howell,wickets,9.0,Australia,['B Lee'],Australia,Bangladesh,field,Australia,Newlands,3272327
Cape Town,2007-09-16,male,RS Madugalle,IL Howell,Asad Rauf,AL Hill,runs,19.0,South Africa,['JA Morkel'],South Africa,England,field,England,Newlands,3282328
Johannesburg,2007-09-17,male,BC Broad,MR Benson,DJ Harper,NJ Llong,runs,33.0,Pakistan,['Younis Khan'],Pakistan,Sri Lanka,field,Sri Lanka,New Wanderers Stadium,3292329
Durban,2007-09-18,male,MJ Procter,SJ Davis,BR Doctrove,SJA Taufel,runs,5.0,New Zealand,['CD McMillan'],England,New Zealand,field,England,Kingsmead,3302330
Johannesburg,2007-09-18,male,BC Broad,DJ Harper,MR Benson,NJ Llong,wickets,6.0,Pakistan,['Misbah-ul-Haq'],Australia,Pakistan,field,Pakistan,New Wanderers Stadium,3312331
Johannesburg,2007-09-18,male,BC Broad,NJ Llong,MR Benson,DJ Harper,runs,64.0,Sri Lanka,['CRD Fernando'],Bangladesh,Sri Lanka,field,Bangladesh,New Wanderers Stadium,3322332
Durban,2007-09-19,male,RS Madugalle,SJ Davis,BR Doctrove,SJA Taufel,wickets,6.0,South Africa,['JM Kemp'],South Africa,New Zealand,field,South Africa,Kingsmead,3332333
Durban,2007-09-19,male,RS Madugalle,SJ Davis,BR Doctrove,SJA Taufel,runs,18.0,India,['Yuvraj Singh'],England,India,bat,India,Kingsmead,3342334
Cape Town,2007-09-20,male,RS Madugalle,AL Hill,Asad Rauf,IL Howell,wickets,10.0,Australia,['SR Clark'],Australia,Sri Lanka,field,Australia,Newlands,3352335
Cape Town,2007-09-20,male,MJ Procter,Asad Rauf,AL Hill,IL Howell,wickets,4.0,Pakistan,['Junaid Siddique'],Bangladesh,Pakistan,field,Pakistan,Newlands,3362336
Durban,2007-09-20,male,RS Madugalle,SJ Davis,BR Doctrove,SJA Taufel,runs,37.0,India,['RG Sharma'],South Africa,India,bat,India,Kingsmead,3372337
Cape Town,2007-09-22,male,MJ Procter,IL Howell,DJ Harper,SJA Taufel,wickets,6.0,Pakistan,['Umar Gul'],New Zealand,Pakistan,bat,New Zealand,Newlands,3382338
Durban,2007-09-22,male,BC Broad,BR Doctrove,Asad Rauf,MR Benson,runs,15.0,India,['Yuvraj Singh'],Australia,India,bat,India,Kingsmead,3392339
Johannesburg,2007-09-24,male,RS Madugalle,DJ Harper,MR Benson,SJA Taufel,runs,5.0,India,['IK Pathan'],India,Pakistan,bat,India,New Wanderers Stadium,3402340
Perth,2007-12-11,male,RS Mahanama,BNJ Oxenford,SJ Davis,PD Parker,runs,54.0,Australia,['A Symonds'],Australia,New Zealand,bat,Australia,Western Australia Cricket Association Ground,3412341
,2008-02-01,male,JJ Crowe,RL Parry,BNJ Oxenford,SJA Taufel,wickets,9.0,Australia,['MJ Clarke'],Australia,India,bat,India,Melbourne Cricket Ground,3422342
Manchester,2008-06-13,male,J Srinath,RA Kettleborough,IJ Gould,PJ Hartley,wickets,9.0,England,['IR Bell'],England,New Zealand,field,England,Old Trafford,3432343
Mumbai,2007-10-20,male,BC Broad,GA Pratapkumar,AM Saheba,SL Shastri,wickets,7.0,India,['G Gambhir'],India,Australia,bat,Australia,Brabourne Stadium,3442344
Johannesburg,2007-11-23,male,J Srinath,M Erasmus,IL Howell,BG Jerling,wickets,3.0,South Africa,['AB de Villiers'],South Africa,New Zealand,field,South Africa,New Wanderers Stadium,3452345
